Category,Edge Case,How System Handles It,Output / Result
,,,,
PDF Handling,Scanned / image-based PDF (no selectable text),"pdf-parse extracts no text → detected as image PDF → orientation corrected → uploaded to Cloudinary → sent to GPT-5 via Response API (file URL)","Processed normally; fax attachment flagged in extraction_warnings if quality is poor"
PDF Handling,PDF with embedded images inside selectable-text PDF,"pdfjs extracts text layer; embedded images are OCR'd with Tesseract separately; both results merged","Combined text + OCR result passed to OpenAI"
PDF Handling,Corrupted or unreadable PDF (pdf-parse throws),"pdf-parse fails → fallback to pdfjs-dist; if pdfjs also fails → error logged and attachment skipped","Attachment skipped; rest of email still processed"
PDF Handling,Skewed / rotated scanned PDF,"fixPdfOrientation runs before Cloudinary upload to correct rotation","Orientation-corrected PDF uploaded; original used as fallback if orientation fix itself errors"
PDF Handling,Blank pages inside a multi-page PDF,"GPT model notes blank/unreadable pages in extraction_warnings","extraction_warnings array populated; data still extracted from legible pages"
,,,,
DOCX Handling,DOCX with embedded images,"mammoth extracts raw text first; then re-processes to find embedded images → Tesseract OCR on each image","Combined text + image OCR result passed to OpenAI"
DOCX Handling,DOCX with no text (image-only),mammoth returns empty text → image OCR path runs,"OCR result used; extraction_warnings added if quality is uncertain"
DOCX Handling,Corrupted DOCX,"mammoth throws → error caught → attachment skipped with console.error","Rest of email still processed"
,,,,
Image Handling,Standalone image attachment (JPG/PNG/TIFF),"Tesseract.js OCR runs on the image; result added to images[] array","Text passed to OpenAI as image content block with base64"
Image Handling,Low-resolution or fax-quality image,"OCR still runs; GPT receives the base64 image directly and notes quality issues","extraction_warnings populated; fields that couldn't be read set to null"
,,,,
Spreadsheet Handling,Excel / XLSX attachment,"XLSX library parses all sheets → converted to JSON → serialized as string; empty cells default to empty string; blank rows skipped","Spreadsheet data passed as text to OpenAI; common for shipment emails"
Spreadsheet Handling,CSV attachment,"Detected by file extension; treated same as XLSX via XLSX library","Parsed and passed as JSON string to OpenAI"
Spreadsheet Handling,Excel with non-standard column headers,"OpenAI prompt explicitly instructs normalization of known header variants (Customer_Number, txtSalesOrderNo, POD_Tracking_Number, Invoice_Number, etc.)","Mapped to canonical schema fields: order_number, tracking_number, ship_date, etc."
,,,,
Email Body Handling,Email has both plain text and HTML body,"Plain text preferred; HTML also extracted and compared by length — longer version wins","Single merged textContent string passed to OpenAI"
Email Body Handling,HTML-only email (no plain text),"HTML stripped of tags and whitespace normalized","Stripped text used as email body content"
Email Body Handling,Email body is empty (no text or HTML),"textContent stays null; processing continues with attachments only","Attachments still processed; OpenAI works from attachment content alone"
,,,,
Email Classification,Promotional / newsletter / spam email,"OpenAI classifies as not_relevant","Returns {is_relevant: false, type: ""not_relevant"", reason: ""...""} — no data extracted; email still marked as read"
Email Classification,Personal or unrelated business email (e.g. Trello notification),"OpenAI classifies as not_relevant","Same as above — skipped with reason string"
Email Classification,Medical referral email (patient data),"Classified as patient → single patient object extracted merging all sources","Saved to MongoDB as patient record"
Email Classification,Shipping notification email,"Classified as shipment → one object per distinct tracking/order number","Saved to MongoDB as shipment record(s)"
,,,,
Data Extraction,Same field found in multiple sources (body + attachment),"For patient: all sources merged into single object; source field lists all origins comma-separated","Most complete value used; conflicts noted in extraction_warnings"
Data Extraction,Multiple shipments in one email,"Each distinct tracking number / order number → separate object in shipments[]","Array of shipment objects returned and saved"
Data Extraction,Conflicting values for same field across pages,"GPT picks best reading and logs conflict in extraction_warnings","extraction_warnings explains which value was chosen and why"
Data Extraction,Field present but not legible (low-quality scan),"Field set to null; extraction_warnings describes the legibility issue","null stored in DB; warning surfaces the uncertainty"
Data Extraction,Field simply absent from document,"Field set to null — no warning added unless absence is surprising","null stored cleanly"
Data Extraction,Patient name varies across pages (OCR inconsistency),"GPT picks the most consistent reading; notes variants in extraction_warnings","Best-guess name stored; warning lists other readings seen"
Data Extraction,Insurance card image present but numbers illegible,"id_number and group_number set to null; extraction_warnings notes the card was present but unreadable","Partial insurance object: name may be populated, IDs null"
Data Extraction,Multiple PCPs or physicians listed,"Schema only allows one primary_care_physician; GPT picks the referring/signing MD and notes others in extraction_warnings","Single physician stored; extraction_warnings explains the choice"
,,,,
Queue / Worker,Job fails during processing,"On failure: message ID removed from Redis ZSET so producer can re-enqueue it","Job retried on next producer cycle"
Queue / Worker,Worker shut down mid-job (graceful shutdown),"Worker drains current jobs before closing; Redis and MongoDB connections closed cleanly","In-flight jobs finish; no data loss"
Queue / Worker,Multiple jobs processed simultaneously,"BullMQ worker runs with configurable concurrency (default 5, set via WORKER_CONCURRENCY env var)","Up to 5 emails processed in parallel"
